pkid,sattag_program,device_id,ptt,body,device_wmo_ref,tag_type,common_name,species,release_lat,release_lon,release_site,state_country,release_date,recovery_date,age_class,sex,length,girth,estimated_mass,actual_mass,sample,comment,pi,institution,abstract,opendap_url,metadata
,ct144,ct144-331BAT2-16,133015,14331,Q9901105,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,29/9/18,,adult,female,220,149,,395.5,Bloodspot; whisker (stable isotope),,,,,,
,ct144,ct144-F620BAT-17,39262,14620,Q9901103,SMRU SRDL CTD-Fluorometer,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,29/9/18,,adult,female,232,149,,397.5,Bloodspot; whisker (stable isotope),,,,,,
,ct144,ct144-622BAT-17,39251,14622,Q9901106,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,27/9/18,,adult,female,218,153,,327.5,Bloodspot; whisker (stable isotope),,,,,,
,ct144,ct144-624BAT-17,39248,14624,Q9901107,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,27/9/18,,adult,female,218,138,,367.5,Bloodspot; whisker (stable isotope),,,,,,
,ct144,ct144-799-18,57616,14799,,SMRU CTD tag,,,,,,,,,,,,,,,,,,,,,
,ct144,ct144-800-18,57623,14800,Q9901165,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-801-18,57618,14801,Q9901138,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct144,ct144-802-18,57617,14802,Q9901163,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-932-18,67023,14932,Q9901157,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-933-18,67138,14933,Q9901146,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-934-18,67027,14934,Q9901129,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-935-18,67029,14935,Q9901158,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-936-18,67132,14936,Q9901147,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-937-18,67133,14937,Q9901148,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-938-18,67032,14938,Q9901149,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-939-18,67033,14939,Q9901150,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-940-18,67035,14940,Q9901172,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-941-18,67036,14941,Q9901169,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
,ct148,ct148-944-18,67136,14944,Q9901170,SMRU CTD tag,Southern Elephant Seal,Mirounga leonina,-49.25,69.167,Kerguelen Islands,French Overseas Territory,,,,,,,,,,,,,,,
